CourseCode,Semester,CourseName,StudyLevel
DE4I-04,3,Numeri?ke metode u elektromagnetizmu,Sveu?ilišni diplomski studij Elektrotehnike
DE4I-05,3,Planiranje pogona,Sveu?ilišni diplomski studij Elektrotehnike
DE4I-07,3,Pohrana i reverzibilnost energije,Sveu?ilišni diplomski studij Elektrotehnike
DE4I-08,3,Sustavi neprekidnog napajanja,Sveu?ilišni diplomski studij Elektrotehnike
DE4I-09,3,Uzemljiva?i i sustavi uzemljenja,Sveu?ilišni diplomski studij Elektrotehnike
DA4I-01,3,Radar i LiDAR u autonomnik vozilima,"Sveu?ilišni diplomski studij, Automobilsko ra?unarstvo i komunikacije"
SIR301-17,3,Ra?unalna grafika,Stru?ni studij smjer Informatika
SIR302-17,3,Jezici za opisivanje sklopovlja,Stru?ni studij elektrotehnike
SIR303-17,3,Programiranje malih Linux ra?unala,Stru?ni studij elektrotehnike
SIR304-17,3,Osnove 3D modeliranja,Stru?ni studij elektrotehnike
SIR601-17,6,Dizajn korisni?kog su?elja,Stru?ni studij elektrotehnike
SIR606-17,6,Internet objekata,Stru?ni studij elektrotehnike
SIR607-17,6,Oblikovanje baza podataka,Stru?ni studij elektrotehnike
SI401-17,4,Projekti za društevno korisno u?enje,Stru?ni studij elektrotehnike
SIAE401-17,4,Recikliranje elektrotehni?kih proizvoda,Stru?ni studij elektrotehnike
SIA3402-17,4,Elektroni?ka mjerenja i instrumentacija,Stru?ni studij elektrotehnike
SI601-17,6,Projekti za društevno korisno u?enje,Stru?ni studij elektrotehnike
SIE301,3,Sklopni aparati,Stru?ni studij elektrotehnike
SIAE402-17,4,Elektroni?ka mjerenja i instrumentacija,Stru?ni studij elektrotehnike
SIE403-17,4,Programski alati u elektroenergetici,Stru?ni studij elektrotehnike
SI601-15,6,Mali i sprecijalni elektri?ni strojevi,Stru?ni studij elektrotehnike
SIE601,6,Zaštita u elektroenergetskom sustavu,Stru?ni studij elektrotehnike
SIE603-15,6,Provedba energetskog pregleda,Stru?ni studij elektrotehnike
,,,Stru?ni studij elektrotehnike
